ClienteId;Nome;Cpf;Email;Telefone;RamoId;RamoNome;DescricaoRamo
1;João Silva;60240175223;joao@teste.com;(11) 91234-5678;3;Saude;Servicos de Saude e bem-estar
2;Maria Oliveira;57957095910;exemplo@teste.com;(51) 92345-6789;3;Saude;Servicos de Saude e bem-estar
3;Ana Costa;57562593993;pedro@teste.com;(61) 93214-5678;3;Saude;Servicos de Saude e bem-estar
4;João Silva;86424551765;juliana@teste.com;(41) 91234-8765;5;Financeiro;Servicos financeiros e bancario
5;Cliente Exemplo;22207350494;maria@teste.com;(41) 91234-8765;2;Comercio;Varejo e Comercio eletronico
6;João Silva;42122143738;pedro@teste.com;(71) 94321-7654;1;Tecnologia;Desenvolvimento de software e TI
7;Ana Costa;52962998900;maria@teste.com;(71) 94321-7654;3;Saude;Servicos de Saude e bem-estar
8;Ana Costa;15827361626;ana@teste.com;(21) 98765-4321;1;Tecnologia;Desenvolvimento de software e TI
9;Pedro Lima;85397902202;juliana@teste.com;(71) 94321-7654;1;Tecnologia;Desenvolvimento de software e TI
10;Pedro Lima;32304943688;carlos@teste.com;(21) 98765-4321;4;Educacao;Educacao e cursos online
11;Cliente Exemplo;32156034104;maria@teste.com;(31) 99876-5432;2;Comercio;Varejo e Comercio eletronico
12;Ana Costa;99565223276;carlos@teste.com;(61) 93214-5678;1;Tecnologia;Desenvolvimento de software e TI
13;Juliana Mendes;44498199352;joao@teste.com;(21) 98765-4321;5;Financeiro;Servicos financeiros e bancario
14;Juliana Mendes;39743361269;juliana@teste.com;(21) 98765-4321;2;Comercio;Varejo e Comercio eletronico
15;Carlos Souza;48127526684;pedro@teste.com;(71) 94321-7654;1;Tecnologia;Desenvolvimento de software e TI
16;João Silva;31384116002;ana@teste.com;(31) 99876-5432;2;Comercio;Varejo e Comercio eletronico
17;Carlos Souza;13910700448;ana@teste.com;(51) 92345-6789;5;Financeiro;Servicos financeiros e bancario
18;Pedro Lima;66769666835;pedro@teste.com;(51) 92345-6789;1;Tecnologia;Desenvolvimento de software e TI
19;Pedro Lima;51452465849;pedro@teste.com;(61) 93214-5678;3;Saude;Servicos de Saude e bem-estar
20;Juliana Mendes;50103899443;carlos@teste.com;(41) 91234-8765;4;Educacao;Educacao e cursos online
21;Cliente Exemplo;43639993950;juliana@teste.com;(71) 94321-7654;1;Tecnologia;Desenvolvimento de software e TI
22;Ana Costa;63594419289;juliana@teste.com;(21) 98765-4321;5;Financeiro;Servicos financeiros e bancario
23;João Silva;81470229221;ana@teste.com;(71) 94321-7654;3;Saude;Servicos de Saude e bem-estar
